Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
11.554,3.7,2.766319109226186,4,2.5806451612903225,NGAW2,37.8077,-122.0707,37.7269,-122.1509,-3.9481969646534574
11.554,3.7,2.664446563620078,3,2.7586206896551726,NGAW2,37.8077,-122.0707,37.8852,-122.0322,-4.458085554843517
11.554,3.7,3.1036894150590832,3,2.2222222222222223,NGAW2,37.8077,-122.0707,37.9422,-121.9305,-6.015744944670643
11.554,3.7,3.284288963416433,3,26.666666666666668,NGAW2,37.8077,-122.0707,37.954,-121.8655,-7.209756719311466
11.554,3.7,2.970414465569701,3,4.444444444444445,NGAW2,37.8077,-122.0707,37.8762,-122.2356,-7.085986412973642
11.554,3.7,2.8786365016777435,3,2.2222222222222223,NGAW2,37.8077,-122.0707,37.9188,-122.1518,-6.105366324600946
11.554,3.7,3.0483247236731614,3,2.2857142857142856,NGAW2,37.8077,-122.0707,37.8735,-122.261,-7.149521154424441
11.554,3.7,3.498324092392878,2,1.1940298507462686,NGAW2,37.8077,-122.0707,37.8573,-122.4227,-6.850121478156489
11.554,3.7,3.5275363037051735,3,1.6666666666666667,NGAW2,37.8077,-122.0707,37.7477,-121.7084,-6.633172123984104
11.554,3.7,3.211649779776461,3,2.1052631578947367,NGAW2,37.8077,-122.0707,37.7294,-121.8335,-5.357265145052374
11.554,3.7,2.5930133911138515,3,2.5,NGAW2,37.8077,-122.0707,37.7379,-122.0649,-3.446310444662108
11.554,3.7,3.2492110246642736,3,1.8181818181818181,NGAW2,37.8077,-122.0707,37.8104,-121.8027,-5.570851812434061
11.554,3.7,2.6567569067146595,3,3.3333333333333335,NGAW2,37.8077,-122.0707,37.8588,-121.9926,-4.394689673594796
11.554,3.7,3.070839746040796,2,1.9047619047619047,NGAW2,37.8077,-122.0707,37.9123,-121.9072,-5.393865734716958
11.554,3.7,3.2965773325320527,3,2.857142857142857,NGAW2,37.8077,-122.0707,38.0269,-122.016,-6.808244841713355
11.554,3.7,3.7316994512968646,2,1.5686274509803924,NGAW2,37.8077,-122.0707,37.6372,-122.4748,-6.404516361631675
11.554,3.7,3.718923575462313,2,1.3793103448275863,NGAW2,37.8077,-122.0707,37.5823,-122.4201,-6.081760439490286
11.554,3.7,3.5698143469549963,2,2.5,NGAW2,37.8077,-122.0707,38.076,-122.2585,-6.669986401062392
6.775,3.8,2.4865719291070616,3,2.0512820512820515,NGAW2,35.632,-120.7532,35.636,-120.8698,-3.9093171695062168
6.775,3.8,3.6750340472918834,3,1.9047619047619047,NGAW2,35.632,-120.7532,35.285,-120.661,-6.376735927938947
6.775,3.8,3.732657076459824,4,1.9047619047619047,NGAW2,35.632,-120.7532,35.899,-120.433,-5.509059879575902
6.775,3.8,2.3646204839134985,3,3.3333333333333335,NGAW2,35.632,-120.7532,35.615,-120.657,-3.0273595856877846
6.775,3.8,3.0577676644734435,3,2.5,NGAW2,35.632,-120.7532,35.464,-120.65,-3.915897501604028
